time,open,high,low,close,volume
2026-01-22T09:30:00,2.8427,2.8534,2.8345,2.8408,689510
2026-01-22T09:31:00,2.842,2.8581,2.8259,2.8418,664862
2026-01-22T09:32:00,2.8393,2.8721,2.8248,2.8481,840049
2026-01-22T09:33:00,2.8449,2.8628,2.8313,2.8526,841713
2026-01-22T09:34:00,2.8499,2.8663,2.8329,2.8448,807498
2026-01-22T09:35:00,2.8424,2.8592,2.8341,2.847,1110379
2026-01-22T09:36:00,2.8488,2.8643,2.8371,2.8517,717873
2026-01-22T09:37:00,2.8512,2.8705,2.8353,2.8574,1080370
2026-01-22T09:38:00,2.8595,2.8896,2.8222,2.8501,974820
2026-01-22T09:39:00,2.8475,2.8808,2.8318,2.8574,746113
2026-01-22T09:40:00,2.8523,2.8991,2.8255,2.8629,788843
2026-01-22T09:41:00,2.8637,2.8922,2.8304,2.8666,650072
2026-01-22T09:42:00,2.8625,2.8931,2.834,2.8604,1090156
2026-01-22T09:43:00,2.8614,2.8885,2.8442,2.858,1016134
2026-01-22T09:44:00,2.8621,2.883,2.8191,2.852,879835
2026-01-22T09:45:00,2.8531,2.8676,2.8326,2.8515,935158
2026-01-22T09:46:00,2.8471,2.89,2.8149,2.8581,1121205
2026-01-22T09:47:00,2.8542,2.8725,2.8313,2.8496,797388
2026-01-22T09:48:00,2.8497,2.8814,2.8062,2.8429,1137043
2026-01-22T09:49:00,2.8415,2.8589,2.82,2.8371,887442
2026-01-22T09:50:00,2.837,2.8584,2.7971,2.8305,1108335
2026-01-22T09:51:00,2.8276,2.8408,2.8112,2.8316,1048266
2026-01-22T09:52:00,2.832,2.8712,2.778,2.8252,1053239
2026-01-22T09:53:00,2.8264,2.8626,2.7999,2.8331,703269
2026-01-22T09:54:00,2.832,2.8605,2.796,2.836,985408
2026-01-22T09:55:00,2.8311,2.8458,2.8127,2.8278,857237
2026-01-22T09:56:00,2.8228,2.8397,2.7971,2.8205,618351
2026-01-22T09:57:00,2.8203,2.8388,2.8008,2.8212,890933
2026-01-22T09:58:00,2.8209,2.8303,2.8039,2.8196,924298
