time,open,high,low,close,volume
2026-02-06T09:30:00,8.5013,8.5995,8.4264,8.5153,344682
2026-02-06T09:31:00,8.5021,8.5759,8.4167,8.5206,540225
2026-02-06T09:32:00,8.5364,8.5744,8.4261,8.4954,332492
2026-02-06T09:33:00,8.5077,8.6065,8.388,8.4735,513224
2026-02-06T09:34:00,8.4829,8.5152,8.4615,8.481,474645
2026-02-06T09:35:00,8.474,8.5799,8.3734,8.4758,414596
2026-02-06T09:36:00,8.4762,8.5606,8.4189,8.4834,384609
2026-02-06T09:37:00,8.4944,8.5263,8.4624,8.4963,329100
2026-02-06T09:38:00,8.5103,8.5499,8.4763,8.5114,397254
2026-02-06T09:39:00,8.525,8.5469,8.4887,8.511,455765
2026-02-06T09:40:00,8.5208,8.5836,8.4572,8.5212,367225
2026-02-06T09:41:00,8.514,8.5444,8.4767,8.5069,486224
2026-02-06T09:42:00,8.4953,8.6133,8.3986,8.5137,366185
2026-02-06T09:43:00,8.5203,8.5908,8.4188,8.4956,367120
2026-02-06T09:44:00,8.4858,8.511,8.4665,8.4856,454418
2026-02-06T09:45:00,8.5024,8.5949,8.4186,8.4808,475964
2026-02-06T09:46:00,8.4928,8.5238,8.4269,8.4714,379717
2026-02-06T09:47:00,8.4723,8.5191,8.4332,8.4549,415729
2026-02-06T09:48:00,8.4485,8.4897,8.3797,8.4409,533623
2026-02-06T09:49:00,8.4361,8.5398,8.3354,8.4388,493362
2026-02-06T09:50:00,8.4484,8.5208,8.3695,8.44,506308
2026-02-06T09:51:00,8.4265,8.4672,8.3694,8.4314,461436
2026-02-06T09:52:00,8.444,8.5091,8.356,8.4552,428371
2026-02-06T09:53:00,8.4633,8.5128,8.4292,8.4648,355142
2026-02-06T09:54:00,8.4492,8.5326,8.409,8.4703,467920
2026-02-06T09:55:00,8.4555,8.584,8.3961,8.4908,340343
2026-02-06T09:56:00,8.4936,8.5667,8.4021,8.489,349937
2026-02-06T09:57:00,8.4787,8.5287,8.4126,8.4695,373243
2026-02-06T09:58:00,8.4691,8.515,8.4183,8.473,430315
2026-02-06T09:59:00,8.4824,8.6023,8.3524,8.4575,320301
2026-02-06T10:00:00,8.3933,8.4558,8.3047,8.3895,176006
2026-02-06T10:01:00,8.3906,8.4284,8.3173,8.3656,184461
2026-02-06T10:02:00,8.3393,8.4267,8.1829,8.3238,154492
2026-02-06T10:03:00,8.2645,8.2995,8.2321,8.257,178086
2026-02-06T10:04:00,8.2312,8.2624,8.1956,8.235,202508
2026-02-06T10:05:00,8.1931,8.2357,8.1722,8.2051,156128
2026-02-06T10:06:00,8.195,8.2565,8.0732,8.1889,132252
2026-02-06T10:07:00,8.17,8.2841,8.0667,8.1496,252596
2026-02-06T10:08:00,8.0963,8.1346,8.0639,8.0946,234369
2026-02-06T10:09:00,8.0606,8.1345,8.0001,8.0475,171490
2026-02-06T10:10:00,8.0226,8.1106,7.9267,8.0479,226947
2026-02-06T10:11:00,8.0139,8.0619,7.9614,7.9962,152448
2026-02-06T10:12:00,7.9479,8.0239,7.8613,7.9481,140802
2026-02-06T10:13:00,7.8963,8.0293,7.7681,7.9182,214675
2026-02-06T10:14:00,7.8664,7.9414,7.7963,7.8516,180499
2026-02-06T10:15:00,7.8281,7.8756,7.7936,7.8513,163341
2026-02-06T10:16:00,7.7906,7.8115,7.7579,7.7828,169809
2026-02-06T10:17:00,7.7631,7.7876,7.7041,7.7524,193002
2026-02-06T10:18:00,7.7273,7.8478,7.6562,7.7494,119356
2026-02-06T10:19:00,7.6962,7.7594,7.6254,7.6897,238505
2026-02-06T10:20:00,7.7449,7.772,7.7239,7.7526,247594
2026-02-06T10:21:00,7.7985,7.8846,7.7188,7.7755,194654
2026-02-06T10:22:00,7.8482,7.9423,7.7513,7.8519,311138
2026-02-06T10:23:00,7.9445,8.0622,7.8896,7.9577,326738
2026-02-06T10:24:00,8.0209,8.1198,7.9391,8.0257,417945
2026-02-06T10:25:00,8.1144,8.2041,8.0189,8.0888,297624
2026-02-06T10:26:00,8.1513,8.2438,8.0773,8.1301,317139
2026-02-06T10:27:00,8.1216,8.1516,8.0682,8.1122,393873
2026-02-06T10:28:00,8.1612,8.2271,8.0587,8.156,265790
2026-02-06T10:29:00,8.1544,8.2063,8.0581,8.1484,403837
2026-02-06T10:30:00,8.2378,8.2932,8.1634,8.2143,398080
2026-02-06T10:31:00,8.2309,8.303,8.1818,8.26,235708
2026-02-06T10:32:00,8.3594,8.4144,8.2732,8.342,217452
2026-02-06T10:33:00,8.3715,8.4243,8.2871,8.3601,371323
2026-02-06T10:34:00,8.3783,8.4957,8.284,8.3518,206099
2026-02-06T10:35:00,8.403,8.5197,8.2893,8.3935,307281
2026-02-06T10:36:00,8.4115,8.4493,8.3601,8.3881,274278
2026-02-06T10:37:00,8.4297,8.5584,8.3305,8.4151,401347
2026-02-06T10:38:00,8.4122,8.5169,8.3506,8.4145,437661
2026-02-06T10:39:00,8.433,8.4679,8.4091,8.4447,347690
2026-02-06T10:40:00,8.4662,8.5043,8.4426,8.4746,112542
2026-02-06T10:41:00,8.4648,8.5162,8.4202,8.4736,81879
2026-02-06T10:42:00,8.4804,8.5175,8.4468,8.4917,56352
2026-02-06T10:43:00,8.4831,8.5465,8.4345,8.4649,135951
2026-02-06T10:44:00,8.481,8.5159,8.4627,8.4902,131907
2026-02-06T10:45:00,8.5262,8.5547,8.4494,8.4898,38112
2026-02-06T10:46:00,8.4912,8.5224,8.4594,8.4947,130168
2026-02-06T10:47:00,8.4638,8.5641,8.3884,8.4741,135284
2026-02-06T10:48:00,8.4812,8.5325,8.4423,8.4719,118413
2026-02-06T10:49:00,8.4567,8.4998,8.3823,8.4236,45472
2026-02-06T10:50:00,8.4149,8.5242,8.2758,8.4103,108635
2026-02-06T10:51:00,8.3898,8.4657,8.3531,8.3884,119636
2026-02-06T10:52:00,8.3673,8.3851,8.3458,8.3615,135626
2026-02-06T10:53:00,8.3399,8.3817,8.284,8.3367,123453
2026-02-06T10:54:00,8.3275,8.4038,8.2869,8.3431,125884
2026-02-06T10:55:00,8.3492,8.4532,8.227,8.3743,67043
2026-02-06T10:56:00,8.3786,8.4562,8.3154,8.3651,89811
2026-02-06T10:57:00,8.3567,8.4549,8.2855,8.3555,76467
2026-02-06T10:58:00,8.3329,8.4662,8.2705,8.3362,96717
2026-02-06T10:59:00,8.347,8.398,8.2784,8.3572,131353
2026-02-06T11:00:00,8.3199,8.3889,8.2145,8.3298,60756
2026-02-06T11:01:00,8.3341,8.4179,8.2881,8.3655,93935
2026-02-06T11:02:00,8.3457,8.4475,8.2925,8.3589,47436
2026-02-06T11:03:00,8.3537,8.5101,8.2761,8.3842,139585
2026-02-06T11:04:00,8.4066,8.5365,8.3317,8.3894,135073
2026-02-06T11:05:00,8.4027,8.4671,8.3637,8.3942,63981
2026-02-06T11:06:00,8.3779,8.5066,8.3066,8.3845,81387
2026-02-06T11:07:00,8.3786,8.441,8.3049,8.4057,122527
2026-02-06T11:08:00,8.4327,8.4698,8.4027,8.4471,66705
2026-02-06T11:09:00,8.4453,8.4637,8.421,8.4487,110043
2026-02-06T11:10:00,8.4413,8.511,8.4108,8.4663,88033
2026-02-06T11:11:00,8.4787,8.5566,8.4128,8.5112,143613
2026-02-06T11:12:00,8.5177,8.6054,8.429,8.5147,48826
2026-02-06T11:13:00,8.4903,8.586,8.3531,8.4918,61060
2026-02-06T11:14:00,8.5049,8.648,8.4198,8.5146,109241
2026-02-06T11:15:00,8.4972,8.5513,8.4338,8.4929,115713
2026-02-06T11:16:00,8.4562,8.5606,8.355,8.4647,45571
2026-02-06T11:17:00,8.4792,8.5675,8.3967,8.4943,47855
2026-02-06T11:18:00,8.4861,8.5965,8.4095,8.498,137731
2026-02-06T11:19:00,8.5153,8.5788,8.4678,8.5301,49333
2026-02-06T11:20:00,8.5287,8.6187,8.4009,8.5205,117930
2026-02-06T11:21:00,8.5296,8.6219,8.4454,8.4996,125465
2026-02-06T11:22:00,8.4817,8.61,8.4021,8.4831,139997
2026-02-06T11:23:00,8.4611,8.533,8.3609,8.4669,126035
2026-02-06T11:24:00,8.4388,8.5539,8.3632,8.4624,144924
2026-02-06T11:25:00,8.4608,8.5454,8.3624,8.4673,80396
2026-02-06T11:26:00,8.4941,8.5418,8.4177,8.4627,117443
2026-02-06T11:27:00,8.4543,8.4973,8.4139,8.4464,70722
2026-02-06T11:28:00,8.4811,8.5397,8.366,8.4566,124670
2026-02-06T11:29:00,8.4729,8.5359,8.3869,8.4662,135934
2026-02-06T11:30:00,8.4504,8.5084,8.349,8.4329,58213
2026-02-06T11:31:00,8.4092,8.5691,8.28,8.4456,94787
2026-02-06T11:32:00,8.4624,8.4801,8.4135,8.4426,68641
2026-02-06T11:33:00,8.4362,8.4993,8.3872,8.4494,109527
2026-02-06T11:34:00,8.4197,8.4438,8.376,8.4041,107379
2026-02-06T11:35:00,8.4,8.4937,8.3243,8.4205,81841
2026-02-06T11:36:00,8.4515,8.5735,8.3832,8.4689,133721
2026-02-06T11:37:00,8.4823,8.62,8.4098,8.4811,76993
2026-02-06T11:38:00,8.507,8.5655,8.4349,8.4868,130585
2026-02-06T11:39:00,8.4915,8.5477,8.4303,8.4864,92010
2026-02-06T11:40:00,8.4842,8.5564,8.3694,8.4891,107059
2026-02-06T11:41:00,8.4699,8.591,8.404,8.4841,90881
2026-02-06T11:42:00,8.5079,8.5476,8.4438,8.4795,74517
2026-02-06T11:43:00,8.4885,8.61,8.3749,8.4992,140150
2026-02-06T11:44:00,8.498,8.5687,8.3964,8.4835,60028
2026-02-06T11:45:00,8.4643,8.5047,8.3761,8.4487,140031
2026-02-06T11:46:00,8.4522,8.4841,8.405,8.4419,114407
2026-02-06T11:47:00,8.4316,8.485,8.3263,8.4066,116644
2026-02-06T11:48:00,8.395,8.4336,8.3578,8.3837,90645
2026-02-06T11:49:00,8.3858,8.4146,8.3327,8.3707,81080
2026-02-06T11:50:00,8.3632,8.4137,8.3126,8.3528,132677
2026-02-06T11:51:00,8.3473,8.4584,8.3054,8.3687,73654
2026-02-06T11:52:00,8.3461,8.438,8.2573,8.3203,77312
2026-02-06T11:53:00,8.335,8.4362,8.2355,8.3043,135531
2026-02-06T11:54:00,8.3048,8.4033,8.1739,8.2961,60375
2026-02-06T11:55:00,8.3023,8.3521,8.2799,8.3299,113778
2026-02-06T11:56:00,8.3627,8.4456,8.2556,8.343,95308
2026-02-06T11:57:00,8.3398,8.4792,8.2116,8.3451,56221
2026-02-06T11:58:00,8.3622,8.4097,8.2925,8.3634,139107
2026-02-06T11:59:00,8.362,8.3997,8.2995,8.3357,73504
