time,open,high,low,close,volume
2026-01-21T09:30:00,3.7919,3.8338,3.753,3.791,1014378
2026-01-21T09:31:00,3.7963,3.8388,3.7482,3.7844,1585797
2026-01-21T09:32:00,3.7912,3.8429,3.7403,3.781,1023188
2026-01-21T09:33:00,3.7853,3.831,3.7371,3.7786,1668901
2026-01-21T09:34:00,3.781,3.8069,3.7482,3.7742,1343044
2026-01-21T09:35:00,3.7804,3.7864,3.7518,3.7636,1477917
2026-01-21T09:36:00,3.7672,3.7885,3.7289,3.7595,1614197
2026-01-21T09:37:00,3.7579,3.7898,3.7385,3.7621,1279945
2026-01-21T09:38:00,3.7687,3.7989,3.736,3.7596,1688388
2026-01-21T09:39:00,3.7556,3.7751,3.7449,3.7643,1188889
2026-01-21T09:40:00,3.7682,3.8044,3.7506,3.7737,1399497
2026-01-21T09:41:00,3.7665,3.7823,3.7532,3.7626,1192372
2026-01-21T09:42:00,3.7697,3.7882,3.7287,3.7642,1432997
2026-01-21T09:43:00,3.7684,3.8058,3.7312,3.7571,1730275
2026-01-21T09:44:00,3.7605,3.801,3.7274,3.764,1087742
2026-01-21T09:45:00,3.7586,3.776,3.737,3.7532,972123
2026-01-21T09:46:00,3.7475,3.7833,3.7122,3.7451,1020283
2026-01-21T09:47:00,3.7513,3.7792,3.6878,3.7385,992981
2026-01-21T09:48:00,3.7404,3.7662,3.6959,3.732,1266701
2026-01-21T09:49:00,3.7269,3.7621,3.6974,3.7275,1445571
2026-01-21T09:50:00,3.7218,3.7601,3.6643,3.724,1443668
2026-01-21T09:51:00,3.7243,3.7309,3.7082,3.7185,1418262
2026-01-21T09:52:00,3.7224,3.7479,3.6745,3.7122,1366150
2026-01-21T09:53:00,3.706,3.7266,3.6942,3.7165,954015
2026-01-21T09:54:00,3.7196,3.7323,3.7037,3.7199,1092143
2026-01-21T09:55:00,3.7262,3.7599,3.6575,3.7143,1284862
2026-01-21T09:56:00,3.7084,3.769,3.6754,3.7208,1513800
2026-01-21T09:57:00,3.7198,3.7588,3.69,3.7196,1097509
2026-01-21T09:58:00,3.7179,3.7296,3.6954,3.7129,1189397
2026-01-21T09:59:00,3.7187,3.7439,3.6946,3.7231,1596759
2026-01-21T10:00:00,3.7166,3.7475,3.6583,3.7139,629563
2026-01-21T10:01:00,3.6848,3.6993,3.6692,3.6862,548421
2026-01-21T10:02:00,3.6703,3.7065,3.6424,3.676,353233
