time,open,high,low,close,volume
2026-02-24T09:30:00,6.5151,6.5829,6.4198,6.509,1372193
2026-02-24T09:31:00,6.4987,6.5473,6.4681,6.4964,1533857
2026-02-24T09:32:00,6.4965,6.5957,6.416,6.5142,1323567
2026-02-24T09:33:00,6.521,6.5453,6.5012,6.5329,1337311
2026-02-24T09:34:00,6.5384,6.5818,6.4835,6.5522,1449132
2026-02-24T09:35:00,6.5638,6.6319,6.5162,6.55,1149213
2026-02-24T09:36:00,6.5629,6.5999,6.5131,6.5464,1698622
2026-02-24T09:37:00,6.5524,6.5766,6.5306,6.5629,1707422
2026-02-24T09:38:00,6.5623,6.6204,6.4812,6.5522,1198053
2026-02-24T09:39:00,6.5404,6.6449,6.4676,6.5543,1335236
2026-02-24T09:40:00,6.5547,6.5783,6.5115,6.5468,1320061
2026-02-24T09:41:00,6.5567,6.616,6.4743,6.5414,1654308
2026-02-24T09:42:00,6.5395,6.5936,6.4659,6.5338,1039387
2026-02-24T09:43:00,6.5259,6.5665,6.4909,6.5487,1293896
2026-02-24T09:44:00,6.5473,6.6281,6.4723,6.5593,1132857
2026-02-24T09:45:00,6.5625,6.6125,6.5044,6.5717,1851679
2026-02-24T09:46:00,6.5649,6.6391,6.484,6.5636,1673851
2026-02-24T09:47:00,6.5733,6.5899,6.5522,6.5658,1425563
2026-02-24T09:48:00,6.5714,6.6028,6.5106,6.5719,1061771
2026-02-24T09:49:00,6.5652,6.6013,6.5074,6.5538,1528152
2026-02-24T09:50:00,6.5615,6.6277,6.4868,6.5432,1027204
2026-02-24T09:51:00,6.5361,6.6315,6.5012,6.5569,1124702
2026-02-24T09:52:00,6.5644,6.6403,6.4788,6.5664,1747468
2026-02-24T09:53:00,6.5608,6.643,6.5191,6.5824,1344381
2026-02-24T09:54:00,6.5934,6.6273,6.5621,6.6004,1148654
2026-02-24T09:55:00,6.6013,6.6211,6.562,6.5949,1719530
2026-02-24T09:56:00,6.5963,6.6686,6.4999,6.5757,1188127
2026-02-24T09:57:00,6.5689,6.6229,6.5105,6.5795,1697346
2026-02-24T09:58:00,6.5893,6.6638,6.5256,6.5888,1436964
2026-02-24T09:59:00,6.5892,6.6614,6.5117,6.5752,1369925
2026-02-24T10:00:00,6.5704,6.6069,6.5234,6.5538,404733
2026-02-24T10:01:00,6.4956,6.5439,6.4477,6.4917,598631
2026-02-24T10:02:00,6.4511,6.5139,6.4148,6.4728,747506
2026-02-24T10:03:00,6.4301,6.4732,6.3698,6.4131,669992
2026-02-24T10:04:00,6.3923,6.4444,6.3355,6.4012,703501
2026-02-24T10:05:00,6.375,6.4033,6.3617,6.3893,632404
2026-02-24T10:06:00,6.3487,6.3838,6.2928,6.3205,781702
2026-02-24T10:07:00,6.2752,6.3628,6.199,6.28,590923
2026-02-24T10:08:00,6.2387,6.272,6.1996,6.2353,774627
2026-02-24T10:09:00,6.1915,6.2972,6.1105,6.2,772042
2026-02-24T10:10:00,6.1429,6.1972,6.0867,6.1534,694329
2026-02-24T10:11:00,6.1271,6.1745,6.0926,6.1453,801666
2026-02-24T10:12:00,6.1043,6.139,6.0547,6.08,768671
2026-02-24T10:13:00,6.0578,6.1325,5.9966,6.0635,465353
2026-02-24T10:14:00,6.0143,6.097,5.9613,6.0329,411526
2026-02-24T10:15:00,5.9952,6.0311,5.9419,5.978,420258
2026-02-24T10:16:00,5.9665,6.0121,5.9472,5.9828,793935
2026-02-24T10:17:00,5.9801,6.0313,5.9417,5.9725,680835
2026-02-24T10:18:00,5.9577,5.9866,5.9075,5.9491,760136
2026-02-24T10:19:00,5.9299,5.9623,5.9049,5.9375,657552
2026-02-24T10:20:00,5.9626,6.0333,5.9038,5.9727,1111279
2026-02-24T10:21:00,5.9796,5.9945,5.9484,5.9698,1306542
2026-02-24T10:22:00,6.0357,6.058,6.0083,6.0199,1121166
2026-02-24T10:23:00,6.0822,6.1214,6.0317,6.0784,1393528
2026-02-24T10:24:00,6.0748,6.1758,5.9572,6.0555,787011
2026-02-24T10:25:00,6.0595,6.0762,6.0277,6.0544,945776
2026-02-24T10:26:00,6.0885,6.1372,6.0082,6.0711,1026155
2026-02-24T10:27:00,6.0808,6.127,6.0136,6.0745,1308699
2026-02-24T10:28:00,6.1347,6.1918,6.0929,6.1294,1141142
2026-02-24T10:29:00,6.1685,6.2273,6.091,6.1743,1137137
2026-02-24T10:30:00,6.1749,6.2405,6.087,6.1711,856561
2026-02-24T10:31:00,6.2361,6.266,6.1931,6.2141,902468
2026-02-24T10:32:00,6.2711,6.2865,6.2264,6.2489,1349267
2026-02-24T10:33:00,6.2749,6.3283,6.1688,6.2651,1408635
2026-02-24T10:34:00,6.2748,6.3053,6.2349,6.2668,1034393
2026-02-24T10:35:00,6.2789,6.3157,6.2233,6.2797,628295
2026-02-24T10:36:00,6.291,6.3237,6.2563,6.2889,1250195
2026-02-24T10:37:00,6.302,6.356,6.2485,6.3075,1318117
2026-02-24T10:38:00,6.3207,6.387,6.2448,6.3129,1452582
2026-02-24T10:39:00,6.3656,6.3935,6.3319,6.3575,719263
2026-02-24T10:40:00,6.357,6.4216,6.3154,6.3711,209902
2026-02-24T10:41:00,6.3524,6.4112,6.3107,6.3823,151308
2026-02-24T10:42:00,6.3679,6.4092,6.323,6.363,494601
2026-02-24T10:43:00,6.343,6.4023,6.276,6.3474,428253
2026-02-24T10:44:00,6.3394,6.3693,6.2999,6.338,279045
2026-02-24T10:45:00,6.3387,6.4072,6.2781,6.3468,483881
2026-02-24T10:46:00,6.3505,6.3917,6.2958,6.3522,155711
2026-02-24T10:47:00,6.3459,6.3778,6.3046,6.3527,334953
2026-02-24T10:48:00,6.3603,6.4089,6.3036,6.3742,418125
2026-02-24T10:49:00,6.3666,6.4005,6.3272,6.3741,181442
2026-02-24T10:50:00,6.3857,6.4942,6.3065,6.388,197304
2026-02-24T10:51:00,6.3987,6.4669,6.3585,6.4219,329593
2026-02-24T10:52:00,6.4028,6.4319,6.379,6.4081,442882
2026-02-24T10:53:00,6.3878,6.4225,6.3434,6.3791,228352
2026-02-24T10:54:00,6.3641,6.4233,6.2804,6.3633,201883
2026-02-24T10:55:00,6.3657,6.4314,6.2865,6.3662,164881
2026-02-24T10:56:00,6.3515,6.3763,6.3206,6.3613,162107
2026-02-24T10:57:00,6.3617,6.384,6.3172,6.3574,131924
2026-02-24T10:58:00,6.3298,6.4066,6.2405,6.3229,187733
2026-02-24T10:59:00,6.2887,6.3078,6.2599,6.2855,386293
2026-02-24T11:00:00,6.3047,6.342,6.2307,6.2787,242219
2026-02-24T11:01:00,6.2842,6.3085,6.2677,6.2832,428900
2026-02-24T11:02:00,6.3053,6.3684,6.2291,6.2915,453625
2026-02-24T11:03:00,6.2786,6.3769,6.182,6.2888,136750
2026-02-24T11:04:00,6.2931,6.3594,6.2451,6.2913,298349
2026-02-24T11:05:00,6.2869,6.3224,6.2651,6.2952,211095
2026-02-24T11:06:00,6.3089,6.3189,6.2926,6.3071,487811
2026-02-24T11:07:00,6.3208,6.38,6.2929,6.3282,475777
2026-02-24T11:08:00,6.3422,6.4131,6.262,6.3493,327946
2026-02-24T11:09:00,6.3732,6.4081,6.3159,6.3568,458640
2026-02-24T11:10:00,6.3363,6.3866,6.3147,6.3651,179617
2026-02-24T11:11:00,6.3679,6.3976,6.3232,6.3697,365889
2026-02-24T11:12:00,6.3705,6.3889,6.3404,6.3556,393216
2026-02-24T11:13:00,6.3662,6.43,6.283,6.3647,379400
2026-02-24T11:14:00,6.3433,6.3828,6.3047,6.3556,485320
2026-02-24T11:15:00,6.3481,6.3768,6.3252,6.3573,183610
2026-02-24T11:16:00,6.3352,6.4102,6.2738,6.3282,266826
2026-02-24T11:17:00,6.3163,6.4093,6.234,6.2979,147665
2026-02-24T11:18:00,6.264,6.3455,6.2004,6.2585,445204
2026-02-24T11:19:00,6.2557,6.277,6.2345,6.2506,378108
